times: 4 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 674 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 679 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 684 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 689 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 694 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 699 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 704 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 709 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 714 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 719 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 724 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 729 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 734 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 739 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 744 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 749 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 754 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 759 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 764 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 769 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 774 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 779 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 784 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 789 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 794 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 799 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 804 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 809 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 814 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 819 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 824 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 829 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 834 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 839 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 844 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 849 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 854 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 859 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 864 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 869 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 874 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 879 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 884 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 889 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 894 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 899 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 904 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 909 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 914 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 919 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 924 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 929 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 934 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 939 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 944 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 949 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 954 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 959 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 964 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 969 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 974 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 979 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 984 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 989 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 994 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 999 distance(final output)0.0899404 distance_chess0.02318314
 Equal: False
