times: 4 distance(final output)0.48745313 distance_chess0.37240306
 Equal: Falsetimes: 719 distance(final output)0.79164386 distance_chess0.7791154
 Equal: Falsetimes: 724 distance(final output)1.7610251 distance_chess1.3745451
 Equal: Falsetimes: 729 distance(final output)1.0139223 distance_chess0.9994731
 Equal: Falsetimes: 734 distance(final output)1.896571 distance_chess1.8284827
 Equal: Falsetimes: 739 distance(final output)2.842726 distance_chess2.7201598
 Equal: Falsetimes: 744 distance(final output)1.8627267 distance_chess1.857398
 Equal: Falsetimes: 749 distance(final output)2.5959775 distance_chess2.3436375
 Equal: Falsetimes: 754 distance(final output)1.7625107 distance_chess1.2938924
 Equal: Falsetimes: 759 distance(final output)2.6659966 distance_chess2.6515708
 Equal: Falsetimes: 764 distance(final output)3.2122138 distance_chess2.769596
 Equal: Falsetimes: 769 distance(final output)3.7793498 distance_chess3.4845352
 Equal: Falsetimes: 774 distance(final output)2.9784088 distance_chess2.3789048
 Equal: Falsetimes: 779 distance(final output)0.41143233 distance_chess0.31226146
 Equal: Falsetimes: 784 distance(final output)2.838139 distance_chess2.7798393
 Equal: Falsetimes: 789 distance(final output)2.7183485 distance_chess2.6948726
 Equal: Falsetimes: 794 distance(final output)1.1456575 distance_chess0.91094697
 Equal: Falsetimes: 799 distance(final output)0.9458896 distance_chess0.7140641
 Equal: Falsetimes: 804 distance(final output)1.716006 distance_chess1.4137887
 Equal: Falsetimes: 809 distance(final output)3.143914 distance_chess2.980759
 Equal: Falsetimes: 814 distance(final output)2.6763055 distance_chess2.0402524
 Equal: Falsetimes: 819 distance(final output)0.71304613 distance_chess0.67352307
 Equal: Falsetimes: 824 distance(final output)1.8170171 distance_chess1.785414
 Equal: Falsetimes: 829 distance(final output)2.0793817 distance_chess1.4823303
 Equal: Falsetimes: 834 distance(final output)1.6361766 distance_chess1.6248107
 Equal: Falsetimes: 839 distance(final output)0.97343713 distance_chess0.973355
 Equal: Falsetimes: 844 distance(final output)0.29229417 distance_chess0.2587486
 Equal: Falsetimes: 849 distance(final output)0.96390533 distance_chess0.8444426
 Equal: Falsetimes: 854 distance(final output)1.652677 distance_chess1.2861583
 Equal: Falsetimes: 859 distance(final output)1.8388848 distance_chess1.4851551
 Equal: Falsetimes: 864 distance(final output)2.8345053 distance_chess2.5466642
 Equal: Falsetimes: 869 distance(final output)0.6530963 distance_chess0.5111789
 Equal: Falsetimes: 874 distance(final output)2.258585 distance_chess2.2347584
 Equal: Falsetimes: 879 distance(final output)1.8933502 distance_chess1.8801541
 Equal: Falsetimes: 884 distance(final output)0.6809756 distance_chess0.6801064
 Equal: Falsetimes: 889 distance(final output)2.1599672 distance_chess2.133069
 Equal: Falsetimes: 894 distance(final output)2.439774 distance_chess2.4246411
 Equal: Falsetimes: 899 distance(final output)0.9373834 distance_chess0.76367843
 Equal: Falsetimes: 904 distance(final output)1.5075094 distance_chess1.4463809
 Equal: Falsetimes: 909 distance(final output)1.3283693 distance_chess1.3255179
 Equal: Falsetimes: 914 distance(final output)3.1326172 distance_chess2.2655087
 Equal: Falsetimes: 919 distance(final output)2.1002436 distance_chess1.8251076
 Equal: Falsetimes: 924 distance(final output)2.601335 distance_chess2.5115137
